$DATA1 SOURCE='HSPICE' VERSION='I-2013.12-SP1-1 32-BIT'
$OPTION MEASFORM=1
.TITLE '****summer 2017 necrl stt latch wite path monte carlo analysis****'
index 1:vdvtn@dvtn_intra 5:vdvtn@dvtn_intra 2:vdvtn@dvtn_intra 3:vdvtp@dvtp_intra 6:vdvtp@dvtp_intra 4:vdvtp@dvtp_intra 7:r1@dr_intra 8:r1@dr_intra 7:tox1@dt_intra 8:tox1@dt_intra 9:mc_cnr_rnd@9:mc_cnr_round 10:mc_cnr_rnd@10:mc_cnr_round 11:mc_cnr_rnd@11:mc_cnr_round 12:mc_cnr_rnd@12:mc_cnr_round 13:mc_cnr_rnd@13:mc_cnr_round 14:mc_cnr_rnd@14:mc_cnr_round ntrh ntdh1 ntrl1 ntdl ntdh2 ntrl2 temper alter#
40 -3.404e-03  8.962e-03  3.970e-03 -2.901e-04  1.745e-02 -1.565e-02  2.259e-08  1.936e-08  1.035e-09  1.168e-09 -1.081e-02   -0.6546    0.6360    0.3567    0.1822    0.6395    3.1416    3.1416  2.022e-19  5.765e-25    3.1416  2.022e-19  110.0000 1
41  1.850e-03 -1.645e-02  2.719e-02  6.710e-03 -3.689e-02  3.647e-04  2.111e-08  2.117e-08  1.026e-09  9.554e-10   -0.6446 -5.792e-03   -0.2689   -0.2620  4.796e-02   -0.4516    3.1416    3.1416 -8.562e-22 -4.399e-21    3.1416 -8.562e-22  110.0000 1
42 -8.996e-03 -1.462e-02  3.757e-02 -1.649e-02  1.739e-02 -9.736e-03  1.988e-08  2.241e-08  1.109e-09  8.448e-10    0.4436    0.1699    0.8609    0.4710    0.3386    0.2445    3.1416    3.1416 -2.614e-19  7.170e-24    3.1416 -2.614e-19  110.0000 1
43 -1.260e-02 -9.538e-03  2.796e-02  2.345e-02  1.503e-03  6.163e-03  2.069e-08  2.352e-08  1.124e-09  1.092e-09 -9.423e-02 -5.424e-02  6.117e-02 -6.132e-02    0.2238  4.152e-03    3.1416    3.1416  5.783e-20 -2.220e-22    0.8988  5.783e-20  110.0000 1
44  1.026e-03 -9.205e-03 -5.949e-04 -2.112e-02  7.123e-03  5.525e-03  2.559e-08  2.066e-08  9.629e-10  8.798e-10   -0.2720    0.4222   -0.5476   -0.4791   -0.2601  3.762e-02    3.1416    3.1416 -1.714e-19  1.411e-25    3.1416 -1.714e-19  110.0000 1
45 -4.595e-03  6.585e-03  8.014e-03  5.825e-03 -9.158e-03 -3.608e-02  1.922e-08  2.671e-08  8.708e-10  1.190e-09    0.1211    0.3125   -0.2556   -0.3661    0.3654   -0.2323    3.1416    3.1416  4.328e-21  1.189e-15    0.6016  4.328e-21  110.0000 1
46 -2.234e-02  2.653e-02 -1.403e-02 -3.309e-03  6.752e-04  1.117e-02  2.035e-08  2.513e-08  1.147e-09  1.075e-09  9.157e-02   -0.2724   -0.2350 -6.273e-02    0.1167    0.3078    3.1416    3.1416 -2.853e-20  1.865e-25    0.7875 -2.853e-20  110.0000 1
47  2.045e-04 -3.848e-03 -8.769e-03 -5.185e-03  4.146e-02  6.629e-03  2.307e-08  2.655e-08  1.095e-09  1.064e-09    0.1610    0.1150    0.1772  2.057e-02   -0.3147   -0.2633    3.1416    3.1416  8.040e-19  2.173e-25    0.6017  8.040e-19  110.0000 1
48 -6.191e-03 -2.723e-02 -6.821e-04 -6.649e-03 -2.223e-03  1.448e-02  1.645e-08  2.139e-08  9.621e-10  1.152e-09 -3.266e-03   -0.3010    0.3608    0.2638   -0.3286   -0.1233    3.1416    3.1416 -7.816e-22 -4.454e-20    3.1416 -7.816e-22  110.0000 1
49  2.108e-02 -1.870e-03 -3.457e-02  2.061e-02 -2.277e-03  1.040e-02  2.289e-08  2.349e-08  1.070e-09  8.059e-10  9.401e-02    0.2882 -8.265e-02   -0.1410    0.2351   -0.2915    3.1416    3.1416  7.666e-21  2.527e-27    3.1416  7.666e-21  110.0000 1
50  3.455e-02 -1.183e-03 -1.902e-03  1.217e-02  9.324e-03  3.274e-03  1.882e-08  2.254e-08  9.016e-10  8.314e-10   -0.1531 -8.336e-02    0.1899   -0.1612  1.574e-02   -0.4390    3.1416    3.1416  4.866e-18  1.786e-16    3.1416  4.866e-18  110.0000 1
51 -9.455e-03  1.144e-02 -1.567e-02  2.363e-02 -5.770e-03 -3.295e-03  2.036e-08  2.403e-08  1.060e-09  1.184e-09   -0.1799   -0.2786  7.316e-02    0.2580    0.1635    0.1400    3.1416    3.1416  1.457e-20 -1.974e-24    0.7163  1.457e-20  110.0000 1
52  1.619e-02 -3.695e-03  8.539e-04  9.712e-03 -2.309e-03  9.840e-03  2.073e-08  1.765e-08  8.652e-10  1.169e-09   -0.4423    0.1180  2.864e-02   -0.2017   -0.8011    0.1159    3.1416    3.1416  1.119e-17 -9.118e-23    3.1416  1.119e-17  110.0000 1
